Review,Product,Rating,Username,Date
"Exp date msh lama,pengirimannya jg cepat,dapet diskonnya lumayan lagi😁,,thanks somethinc 👍👍",SOMETHINC [2 PCS] Paket Skincare Pilihan,bintang 5,V***a,2024-01-28
hbdbdbsjsjsjsnzjjsbsbsbshsbsbsjsjsjsnsjdnsndjxnenxjsibdhfhanwbzjx,SOMETHINC Low pH Gentle Jelly Cleanser - Face Wash / Face Cleanser,bintang 5,a***a,2024-01-28
No review found,SOMETHINC [2 PCS] Paket Skincare Pilihan,bintang 5,M***a,2024-01-28
No review found,SOMETHINC GLOW MAKER AHA BHA PHA Clarifying Treatment Toner,bintang 5,R***a,2024-01-28
No review found,SOMETHINC [4 PCS] Paket Atasi Jerawat,bintang 5,F***n,2024-01-28
"semoga cocok di kulitku yg sensitif ini, karna banyak tmn yg rekomen coba ini jadi lgsg aku checkout!❤️",[Tasya Farasya Approved] SOMETHINC Calm Down! Skinpair Moisturizer,bintang 5,m***a,2024-01-28
Belum dicoba. smg cocok,SOMETHINC BEE POWER Propolis Glow Lip Serum,bintang 5,P***n,2024-01-28
tipe kulitku kombinasi,SOMETHINC ACNEDOT Treatment Moisturizer Gel,bintang 5,A***n,2024-01-28
tipe kulitku kombinasi,[FLASH SALE] SOMETHINC Holyshield! UV Watery Sunscreen Gel SPF 50+,bintang 5,A***n,2024-01-28
sesuai deskripsi,[FLASH SALE] SOMETHINC DIAMOND PHYTO Stem Cell Serum,bintang 5,H***i,2024-01-28
sesuai deskripsi,SOMETHINC [2 PCS] Combo Exfoliating Glowing,bintang 5,H***i,2024-01-28
tipe kulitku kombinasi,[FLASH SALE] SOMETHINC Holyshield! UV Watery Sunscreen Gel SPF 50+,bintang 5,A***i,2024-01-28
No review found,SOMETHINC Copy Paste Tinted Sunscreen SPF 40 PA++++,bintang 5,Stefany,2024-01-28
"paket aman, semoga cocok.",SOMETHINC [4 PCS] Paket Lengkap Calm Down Series,bintang 5,Dhani,2024-01-28
masalah kulitku pori besar,SOMETHINC Lemonade Waterless Vitamin C+Ferulic+NAG,bintang 5,R***A,2024-01-28
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi tipe kulitku sensitif masalah kulitku jerawat,SOMETHINC Calm Down Series - Skincare Kulit Ngamuk dan Sensitif,bintang 5,A***a,2024-01-28
"kiriman cepat, packing bagus",SOMETHINC [2 PCS] Best of The Best Hooman Duo (Cushion + Powder),bintang 5,Sarmauli,2024-01-28
Sesuai dengan deskripsi,SOMETHINC SRSLY Balancer Makeup Setting Spray,bintang 5,E***o,2024-01-28
tipe kulitku berminyak tipe kulitku sensitif,SOMETHINC Calm Down! PHA 3% Soothing Everyday Toner,bintang 5,F***h,2024-01-28
"bagus bangett, kulit jadi lembut",[FLASH SALE] SOMETHINC Low pH Gentle Jelly Cleanser,bintang 5,T***i,2024-01-28
"Sudah sampai, packing aman. Dapet free penjepit bulu mata Thank youu",[Tasya Farasya Approved] SOMETHINC Calm Down! Skinpair Moisturizer,bintang 5,Rizka,2024-01-28
"Sudah sampai, packing aman. Dapet free penjepit bulu mata Thank you",SOMETHINC Ombrella Lip Totem Tint,bintang 5,Rizka,2024-01-28
tipe kulitku kering,SOMETHINC SOS Bakuchiol Electrolyte Rich Moisturizer Silk Creme,bintang 5,D***a,2024-01-28
tipe kulitku berminyak,SOMETHINC [5 PCS] Paket Lengkap Acnedot Series,bintang 5,R***d,2024-01-28
"dapet harga 15rb. pengiriman cepat, teruntuk kurir gtl terima kasih tetap mau anter walaupun udah jam 10 malem, krn hujan seharian jadi harus lemburr.",SOMETHINC COFFEEINC Lip Scrub,bintang 5,s***t,2024-01-27
"dapet harga 10rb. pengiriman cepat, teruntuk kurir gtr terima kasih tetap mau anter walaupun udah jam 10 malem, krn hujan seharian jadi harus lemburr.",SOMETHINC Reset Gentle Micellar Cleansing Water,bintang 5,s***t,2024-01-27
"simple buat dibawa kemana mana, dan bisa dipakai tanpa cuci tangan",SOMETHINC Holyshield Glow Sunscreen Stick SPF 50++ PA ++++,bintang 5,C***a,2024-01-27
