Review,Product,Rating,Username,Date
"Cocok di kulit saya, tekstur ringan dan sangat cepat menyerap di kulit. Super recommended.",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Muhammad,2023-11-01
baru pertama kali beli skin game mudah mudahan cocok,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,A***a,2023-11-01
No review found,Skin Game Spot Guard Serum,bintang 5,A***a,2023-11-01
"Akhirnyaaa menemukan moisturizer yg cocokkk!! Moistnya ringan, dan cepet menyerap. Aku udah make 2tube. 1tube bisa dipake 2bulan lebih. Tergantung pemakaiannya.",Skin Game Kind Watery Moisturizer - Pelembab Wajah (Skin Barrier),bintang 5,Anis,2023-11-01
"baguss, semoga cocok 💗",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,wiwit,2023-11-01
baru mau dicoba semoga cocok,Skin Game Spot Guard Serum,bintang 5,Fatahanisa,2023-11-01
produk ori dan aman. kakak adminnya juga ramah banget. bakal repurchase lagiii deh kayaknya,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,r***m,2023-11-01
"pengiriman dan pengemasan cepat bgt aman produk sesuai , udh pernah coba dan lumayan bikin jerawat cpt mateng. thankyou",Skin Game Acne Warrior,bintang 5,K***a,2023-11-01
"Baunya agak aneh, apek dan bau besi seperti dr tempatnya. Saya pernah pakai sabun lain yg tanpa bau, tp ga pernah spt ini. Jd kurang nyaman pakainya dan sampai skrg masih ada",Skin Game Kind Hydrating Facial Wash - Sabun Cuci Muka,bintang 3,J***e,2023-11-01
"Dari dulu, selalu jadi langganan untuk solusi kalau lagi jerawatan. Bulan ini kebetulan lagi breakout dan tidak pikir lama langsung checkout kembali ini holy grail. I love you 3000 kembali serebu. 🤍🤍🤍",Skin Game Acne Warrior 10 gr,bintang 5,Abdul,2023-11-01
"barang sampai dgn selamat, packagingnya jg aman. semoga cocok!",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,Wieke,2023-11-01
"warna nya kuning, entah karena apa",Skin Game Theory of Everything,bintang 2,Y***I,2023-11-01
"baru pertama kali coba,
semoga cocok
thank you seller",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,F***h,2023-11-01
barang sampai dgn selamat,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,keza,2023-11-01
packing rapi dan aman. barang sesuai pesenan,Skin Game Acne Warrior 10 gr,bintang 5,E***e,2023-11-01
This moisturizer is seriously a game changer. I love how one bottle could last me months,Skin Game Daily Kind Moisturizer,bintang 5,D***a,2023-11-01
baeu nyoba pertama kali. smoga bisa cocok krn reviewnya bagus,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,L***i,2023-10-02
"ringan bgt waktu di apply, cocok buat kulit berminyak, moist parahh",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,F***y,2023-10-02
"Botol keduaaa, aslii butuh 9 bulan untuk habisin botol pertama😂 cocok bgt di kulit oilyy, mudah meresap, dan menurutku mudah meredakan jerawat juga sii😰. Packaging aman dan rapiiih bangett. Luuvvv",Skin Game Daily Kind Moisturizer,bintang 5,F***a,2023-10-02
"Bagusss, delivery lumayan lama",Skin Game Daily Kind Facial Wash,bintang 5,Iwan,2023-10-02
No review found,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,N***a,2023-10-02
lagi nyoba nih pertama kali. udah make 3 harian wow aku suka banget teksturnyaa. oilyskin friendly banget luvvv♡♡ nanti kalo udah abis aku mau beli yang gede!!!,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,Y***a,2023-10-02
"Product bagus, harga promo, dapet cashback..",Skin Game Daily Kind Moisturizer,bintang 5,Renando,2023-10-02
"pengemasannya cepat dan aman, baru nyobain moisturizernya dan so far aman. mungkin bakal repurchase lagi nanti, thank you!",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,S***y,2023-10-02
Thanks. mau dicoba dulu produknya 👍,Skin Game Acne Warrior 10 gr,bintang 5,L***a,2023-10-02
No review found,Skin Game Daily Kind Moisturizer,bintang 5,Shofiy,2023-10-02
"pumpnya jelek sekali, pas dipakai malah muncrat2. Uda habis 1 botol tp belum ada perubahan untuk kulit jerawat sedang",Skin Game Spot Guard Serum,bintang 3,V***a,2023-10-02
seperti megecil,Skin Game Acne Warrior,bintang 4,T***v,2023-10-02
"Baunya mild, tekstur gel mudah meresap, exp nya masih 02/26",Skin Game Daily Kind Moisturizer,bintang 5,Pris,2023-10-02
Love banget sama pelayanannya 😍😍,Skin Game Daily Kind Moisturizer,bintang 5,yuri,2023-10-02
Expired 2026,Skin Game Daily Kind Moisturizer 50 ml,bintang 5,Miguel,2023-10-02
"Packaging bagus, beda dari moisturizer kebanyakan. Teksturnya gel kental. Pas dioles ada sensasi dinginnya dan cepat meresap. Cukup 1-2 kali pump bisa untuk pemakaian seluruh wajah. Kayaknya bakalan irit banget ini pemakaiannya. Semoga cocok di kulit wajah aku ya.",Skin Game Daily Kind Moisturizer 50 ml,bintang 5,Pingkan,2023-10-02
belum dicoba semoga cocok. pengiriman cepat. packing aman. trmaksih,Skin Game Acne Duo (Acne Warrior & Acne Combat),bintang 5,Y***a,2023-10-02
Repurchase kedua kali ❤️,Skin Game Daily Kind Moisturizer,bintang 5,R***a,2023-10-02
moisturizer favorit 🥰,Skin Game Daily Kind Moisturizer,bintang 5,D***s,2023-10-02
ringan dan melembabkan 👍 bener bener ga salah buat coba,Skin Game Daily Kind Moisturizer,bintang 5,S***a,2023-10-02
"First impression : BOTOLNYA CANTIK AMAT WOY PLISSS 😭😭
Buat produknya sebenernya ga bisa di ulas sih ya karena baru pakai, tapi moisturizernya cepet meresap dan yaa, gimana moisturizer pada umumnya, melembabkan.",Skin Game Daily Kind Moisturizer,bintang 5,VR,2023-10-02
No review found,Skin Game Daily Kind Moisturizer,bintang 5,Indi,2023-10-02
"teksturnya ringan mudah merasap, baru pertama kali coba semoga cocok di kulit aku 😇
packingnya aman bgt dikasih box trus pake bubble wrap 👍",Skin Game Daily Kind Moisturizer,bintang 5,H***h,2023-10-02
"baru mau coba, tipe kulit kering sensitive
semoga cocok",Skin Game Daily Kind Moisturizer,bintang 4,d***a,2023-10-02
"Tipe kulitku oily, ini oke banget di kulit, kelembaban nya oke buat seharian dan teksturnya ringan banget, cepat meresap, udah gitu isinya banyak",Skin Game Daily Kind Moisturizer,bintang 5,Megan,2023-10-02
No review found,Skin Game Daily Kind Facial Wash,bintang 5,e***a,2023-09-02
"Ini tube kedua aku dan aku cocok banget sama produknya. Ringan, enak banget dipakenya dan ngelembabin. Kulit aku tipe oily dan ini cukup dipake malem aja sampe siangnya masih ngelembabin banget",Skin Game Daily Kind Moisturizer,bintang 5,S***h,2023-09-02
enak bagus tp sayang mahal,Skin Game Acne Warrior,bintang 5,Nofa,2023-09-02
No review found,Skin Game Acne Warrior 10 gr,bintang 2,Sena,2023-09-02
"Cocok2an aja klo produknya. Soal pelayanan, pengiriman, kemasan semua okay ⭐️⭐️⭐️⭐️⭐️",Skin Game Acne Warrior 10 gr,bintang 3,C***e,2023-09-02
bahan ringan dan mudah menyerap di kukit,Skin Game Daily Kind Moisturizer,bintang 5,NI,2023-09-02
